"","prediction.score.Endothelial.Cell","prediction.score.Thick.Ascending.Limb","prediction.score.Distal.Convoluted.Tubule","prediction.score.Proximal.Tubule","prediction.score.Connecting.Tubule","prediction.score.Principal.Cells","prediction.score.Intercalated.Cells.Type.A","prediction.score.Intercalated.Cells.Type.B","prediction.score.Mesangial.Cells","prediction.score.Leukocyte","prediction.score.max"
"610",0,0.0671232992046166,0.0458199814888809,0.789823897647033,0,0.0972328216594699,0,0,0,0,0.789823897647033
"611",0,0.0165522930102387,0,0.000685036458518852,0.00204006205929418,0.0433052089981364,0.805212788102854,0.132204611370957,0,0,0.805212788102854
"612",0,0.183740533172017,0.236962003954091,0.136889320333977,0.0731882738974305,0.319780374075346,0,0.0151234386236343,0,0.0343160559435033,0.319780374075346
"613",0,0.0389497214802544,0.0633134470173043,0,0,0.897736831502441,0,0,0,0,0.897736831502441
"614",0.0190634538546594,0.592965620035175,0,0.00370859819102746,0,0,0,0,0.384262327919138,0,0.592965620035175
"615",0.870746278960935,0.051301031103707,0,0.0141033383713515,0,0.0119827897152111,0,0,0.0424633640335908,0.00940319781520423,0.870746278960935
"616",0,1,0,0,0,0,0,0,0,0,1
"617",1,0,0,0,0,0,0,0,0,0,1
"618",0,0.229724717516168,0,0.750532806331541,0,0.0197424761522916,0,0,0,0,0.750532806331541
"619",0.346264169219215,0.146544741999287,0,0,0,0.000642304803640581,0,0,0.499434778381708,0.00711400559614999,0.499434778381708
"620",0,0.702209573393084,0,0.00462096499668498,0.0369505676563848,0.228326125533534,0,0,0,0.0278927684203125,0.702209573393084
"621",0,1,0,0,0,0,0,0,0,0,1
"622",1,0,0,0,0,0,0,0,0,0,1
"623",0,0.949620963864639,0,0,0.0503790361353608,0,0,0,0,0,0.949620963864639
"624",0,0.297828428428262,0,0.515982577758714,0,0.0213037582568133,0,0,0,0.164885235556211,0.515982577758714
"625",0.292811005598273,0.0594097079784254,0,0.0945532750044979,0,0.0209511128362839,0.375274805814966,0.0262776445084735,0.0416247295316826,0.0890977187273982,0.375274805814966
"626",0,0.00772729571330154,0,0,0,0.063962584380356,0.907388829098555,0.0209212908077878,0,0,0.907388829098555
"627",0.104149059855031,0.202147692410299,0,0.441799273269942,0.0296538258687363,0.0276961668584001,0,0.0428911952023366,0,0.151662786535254,0.441799273269942
