,Connecting Tubule,Distal Convoluted Tubule,Endothelial Cell,Intercalated Cells Type A,Intercalated Cells Type B,Leukocyte,Mesangial Cells,Principal Cells,Proximal Tubule,Thick Ascending Limb
112,0.17097571,0.001026343,0.0787951,0.14233477,0.120691165,2.8750655e-05,0.2231426,0.08358777,0.17941561,2.12133e-06
113,4.50441e-06,0.124065645,0.018950105,0.09750602,0.162655,0.022944463,0.14873146,1.5409767e-06,0.28607416,0.13906716
114,0.09850909,0.09794902,0.039745267,0.096070126,1.3016817e-06,3.6491895e-06,7.3875003e-07,0.24895874,0.24233882,0.1764232
115,5.6489178e-05,2.077507e-06,0.0742257,0.010345123,0.012794325,0.020964727,0.047716275,0.34248552,0.4046977,0.086712055
116,2.8164347e-06,0.11880443,3.8207495e-06,0.28374332,0.12438089,0.01838543,0.069082476,0.34765542,3.2491795e-07,0.037941102
117,3.1068469e-06,5.4376437e-06,0.027470732,0.13053966,0.017573927,0.013500665,0.12132349,9.677623e-07,0.6895763,5.7112893e-06
118,0.11354196,3.7151397e-06,0.14498672,0.009567489,0.09057928,0.052787516,0.033903364,0.54336846,2.1798196e-06,0.011259187
119,3.2679854e-05,0.14656124,9.988022e-07,0.11404099,0.022540906,2.3799198e-06,0.0023331617,0.5728311,0.12558153,0.016075043
120,5.843787e-06,0.009967003,0.101248346,1.4336885e-06,1.3762785e-06,0.011314183,0.08633298,0.29413697,0.4969903,1.6399246e-06
121,0.100985855,0.20080306,0.16412877,0.4417671,1.5291994e-06,0.03277432,5.638686e-07,1.133652e-05,0.059526384,1.1459927e-06
122,3.6160945e-05,0.34158233,0.18831645,0.22335954,8.959788e-06,3.872107e-06,0.013789654,4.42668e-06,0.13160081,0.10129779
123,5.744548e-06,9.158806e-06,0.47964284,3.1812378e-06,0.036070842,0.09164387,8.575946e-06,2.0149266e-06,0.39259636,1.7411763e-05
124,1.7194394e-05,0.022308404,0.030320259,0.004185251,2.1954017e-06,0.021240633,0.082674414,0.27659214,0.10664069,0.45601875
125,0.1086771,0.05712208,0.018876623,0.0053072614,0.11286692,0.028078284,0.048816442,0.04069481,0.15086274,0.4286978
126,0.1889596,3.6910774e-06,0.02208655,0.042116527,0.030455284,0.0449607,0.06155057,0.19490649,0.04587142,0.36908916
127,2.1664916e-06,2.0960126e-06,0.18351121,0.041850194,8.739761e-07,5.0921726e-06,0.010051387,0.27773476,0.08204905,0.40479317
128,0.32814768,4.1272842e-06,0.3174626,0.055530768,0.024198849,0.13318878,1.7101308e-06,7.545407e-06,0.14145443,3.4774482e-06
129,0.0019220904,0.04644423,1.7730356e-06,4.427779e-06,0.12215318,0.021834355,3.5659964e-06,0.3207135,0.16039936,0.32652345
130,4.179754e-06,0.041507225,0.05606811,0.0075262114,1.0998359e-05,0.015558005,7.347463e-07,0.609294,0.047032166,0.22299834
131,0.043689094,0.08808831,0.038650073,9.660844e-07,0.049616646,0.012399526,0.04124954,0.48172018,0.13279204,0.111793555
132,0.11866185,3.8255357e-06,0.17091382,0.04775161,2.4079343e-06,0.044375222,7.374712e-07,0.17859201,0.10998334,0.32971513
133,0.028004613,0.067219295,0.14183135,3.9566025e-06,0.018461905,0.017111579,1.4904247e-06,0.0806369,0.017605454,0.62912345
134,5.386251e-05,5.120708e-06,0.05341173,0.27401748,3.348365e-06,0.058270436,1.5490108e-06,0.1940754,0.0118045425,0.40835643
135,0.18529259,4.552256e-05,0.13274322,0.19601777,0.12166886,0.012958859,5.0291266e-07,0.25081742,0.06605557,0.034399673
136,0.31554756,0.4199499,1.8483033e-06,0.00030375872,2.583213e-06,0.044316206,1.4046891e-05,6.476001e-06,0.21982588,3.184147e-05
137,0.16433455,2.0164816e-06,0.057434708,4.97149e-06,0.06924613,0.02084258,0.047976945,0.4686057,0.07038635,0.10116601
138,0.056899145,0.078248575,0.0386988,0.11110519,1.3875665e-06,0.0053474642,1.2410084e-06,0.5438815,0.095456615,0.0703601
