"","cell_ID","Endothelial Cell","Thick Ascending Limb","Distal Convoluted Tubule","Proximal Tubule","Connecting Tubule","Principal Cells","Intercalated Cells Type A","Intercalated Cells Type B","Mesangial Cells","Leukocyte"
"199","198",0,0,0,0.23790454194926,0,0.43440976811661,0.32768568993413,0,0,0
"200","199",0,0.307202273835804,0,0.283034798475892,0.409762927688304,0,0,0,0,0
"201","200",0,0.584010676697784,0,0.415989323302216,0,0,0,0,0,0
"202","201",0.0737800000764558,0,0,0.200791326056408,0,0,0.285852685468826,0,0.188524992018096,0.251050996380214
"203","202",0,0.729517339160945,0,0.270482660839055,0,0,0,0,0,0
"204","203",0,0.275638645732226,0,0.282966760431475,0,0,0.441394593836299,0,0,0
"205","204",0,0.556940268650504,0,0.350010307417616,0,0,0,0,0,0.0930494239318807
"206","205",0.114086186637735,0,0,0.245463280506861,0,0.501945138718052,0,0,0.138505394137352,0
"207","206",0,0.574268164887222,0,0.425731835112778,0,0,0,0,0,0
"208","207",0,0,0,0,0,0.410379663528222,0.342058326612022,0,0,0.247562009859757
"209","208",0.161562584356227,0.19508749420711,0,0.229359057560346,0,0.413990863876317,0,0,0,0
"210","209",0.0998091928032806,0.662311843687031,0,0,0,0.102907906460748,0,0,0,0.13497105704894
"211","210",0,0,0,0.406920796399876,0,0.338095365470604,0,0,0,0.25498383812952
"212","211",0.121989742602625,0.14095464987635,0.525336403050813,0.211719204470212,0,0,0,0,0,0
"213","212",0,0.365587275938495,0,0.634412724061505,0,0,0,0,0,0
"214","213",0,0.160523487966371,0,0.185458970172697,0,0.405450644609868,0,0,0.129671284122615,0.118895613128449
"215","214",0,0.1607087160848,0,0.732671028483543,0,0,0.106620255431657,0,0,0
"216","215",0.158350663236315,0.158239309025414,0.238416476408126,0,0,0.444993551330146,0,0,0,0
"217","216",0,0,0,0.114548436241466,0,0.885451563758534,0,0,0,0
"218","217",0,0,0,0.318199538177613,0,0,0.681800461822387,0,0,0
"219","218",0.367643665462408,0.18032000505122,0,0.236255187928587,0,0.215781141557786,0,0,0,0
"220","219",0,0.822499176238405,0,0.177500823761595,0,0,0,0,0,0
"221","220",0,0.229790913252682,0,0.543141798853173,0,0.227067287894145,0,0,0,0
